ins,Setmana,viatge,any,sortida,sort_corregit,,,,
13/05/2018 12:38:26,1,1,2018,4/8/2018,04/08/2018,,,,
10/6/2018 23:58,1,1,2018,4/8/2018,04/08/2018,,,,
27/06/2018 20:49:35,1,1,2018,4/8/2018,04/08/2018,,,,
30/06/2018 10:41:44,1,1,2018,4/8/2018,04/08/2018,,,,
2/7/2018 17:50,1,1,2018,4/8/2018,04/08/2018,,,,
2/7/2018 17:52,1,1,2018,4/8/2018,04/08/2018,,,,
3/7/2018 20:03,1,2,2018,4/8/2018,04/08/2018,,,,
3/7/2018 20:05,1,2,2018,4/8/2018,04/08/2018,,,,
5/7/2018 14:28,1,2,2018,4/8/2018,04/08/2018,,,,
5/7/2018 20:08,1,1,2018,4/8/2018,04/08/2018,,,,
5/7/2018 20:09,1,1,2018,4/8/2018,04/08/2018,,,,
5/7/2018 20:10,1,1,2018,4/8/2018,04/08/2018,,,,
5/7/2018 20:11,1,1,2018,4/8/2018,04/08/2018,,,,
5/7/2018 20:12,1,1,2018,4/8/2018,04/08/2018,,,,
5/7/2018 20:13,1,1,2018,4/8/2018,04/08/2018,,,,
5/7/2018 20:14,1,1,2018,4/8/2018,04/08/2018,,,,
5/7/2018 20:15,1,1,2018,4/8/2018,04/08/2018,,,,
5/7/2018 20:16,1,1,2018,4/8/2018,04/08/2018,,,,
7/7/2018 22:34,1,1,2018,4/8/2018,04/08/2018,,,,
7/7/2018 22:37,1,1,2018,4/8/2018,04/08/2018,,,,
10/7/2018 18:52,1,2,2018,4/8/2018,04/08/2018,,,,
10/7/2018 19:01,1,1,2018,4/8/2018,04/08/2018,,,,
12/7/2018 23:41,1,1,2018,4/8/2018,04/08/2018,,,,
15/07/2018 12:15:01,1,2,2018,4/8/2018,04/08/2018,,,,
16/07/2018 19:54:16,1,1,2018,4/8/2018,04/08/2018,,,,
16/07/2018 20:49:36,1,1,2018,4/8/2018,04/08/2018,,,,
16/07/2018 20:51:17,1,1,2018,4/8/2018,04/08/2018,,,,
16/07/2018 20:52:09,1,1,2018,4/8/2018,04/08/2018,,,,
16/07/2018 22:03:02,1,1,2018,4/8/2018,04/08/2018,,,,
27/07/2018 19:27:22,1,1,2018,4/8/2018,04/08/2018,,,,
27/07/2018 19:30:54,1,1,2018,4/8/2018,04/08/2018,,,,
27/07/2018 21:37:15,1,2,2018,4/8/2018,04/08/2018,,,,
28/07/2018 13:08:58,1,2,2018,4/8/2018,04/08/2018,,,,
30/07/2018 15:34:50,1,1,2018,4/8/2018,04/08/2018,,,,
30/07/2018 15:36:19,1,1,2018,4/8/2018,04/08/2018,,,,
30/07/2018 18:30:34,1,1,2018,4/8/2018,04/08/2018,,,,
31/07/2018 18:48:30,1,1,2018,4/8/2018,04/08/2018,,,,
2/8/2018 16:27,1,1,2018,4/8/2018,04/08/2018,,,,
12/5/2018 8:37,2,1,2018,11/8/2018,11/08/2018,,,,
16/05/2018 14:26:51,2,1,2018,11/8/2018,11/08/2018,,,,
16/05/2018 14:33:12,2,1,2018,11/8/2018,11/08/2018,,,,
28/05/2018 19:24:56,2,1,2018,11/8/2018,11/08/2018,,,,
28/05/2018 19:28:30,2,1,2018,11/8/2018,11/08/2018,,,,
17/06/2018 19:48:44,2,1,2018,11/8/2018,11/08/2018,,,,
30/06/2018 09:44:15,2,2,2018,11/8/2018,11/08/2018,,,,
3/7/2018 15:12,2,1,2018,11/8/2018,11/08/2018,,,,
4/7/2018 9:52,2,1,2018,11/8/2018,11/08/2018,,,,
9/7/2018 9:41,2,1,2018,11/8/2018,11/08/2018,,,,
12/7/2018 16:25,2,3,2018,11/8/2018,11/08/2018,,,,
12/7/2018 23:44,2,3,2018,11/8/2018,11/08/2018,,,,
18/07/2018 18:15:49,2,1,2018,11/8/2018,11/08/2018,,,,
28/07/2018 15:27:49,2,3,2018,11/8/2018,11/08/2018,,,,
30/07/2018 22:57:19,2,1,2018,11/8/2018,11/08/2018,,,,
30/07/2018 22:57:34,2,1,2018,11/8/2018,11/08/2018,,,,
30/07/2018 22:58:23,2,1,2018,11/8/2018,11/08/2018,,,,
30/07/2018 22:59:35,2,1,2018,11/8/2018,11/08/2018,,,,
30/07/2018 23:00:06,2,1,2018,11/8/2018,11/08/2018,,,,
30/07/2018 23:00:42,2,1,2018,11/8/2018,11/08/2018,,,,
30/07/2018 23:01:45,2,1,2018,11/8/2018,11/08/2018,,,,
30/07/2018 23:02:18,2,1,2018,11/8/2018,11/08/2018,,,,
30/07/2018 23:02:58,2,1,2018,11/8/2018,11/08/2018,,,,
30/07/2018 23:03:33,2,1,2018,11/8/2018,11/08/2018,,,,
30/07/2018 23:04:03,2,1,2018,11/8/2018,11/08/2018,,,,
30/07/2018 23:04:31,2,1,2018,11/8/2018,11/08/2018,,,,
30/07/2018 23:05:02,2,1,2018,11/8/2018,11/08/2018,,,,
30/07/2018 23:06:12,2,3,2018,11/8/2018,11/08/2018,,,,
30/07/2018 23:06:45,2,1,2018,11/8/2018,11/08/2018,,,,
30/07/2018 23:07:30,2,1,2018,11/8/2018,11/08/2018,,,,
30/07/2018 23:07:56,2,1,2018,11/8/2018,11/08/2018,,,,
30/07/2018 23:08:46,2,1,2018,11/8/2018,11/08/2018,,,,
30/07/2018 23:09:17,2,1,2018,11/8/2018,11/08/2018,,,,
30/07/2018 23:09:56,2,3,2018,11/8/2018,11/08/2018,,,,
30/07/2018 23:25:20,2,1,2018,11/8/2018,11/08/2018,,,,
5/8/2018 15:28,2,3,2018,11/8/2018,11/08/2018,,,,
10/8/2018 15:22,2,3,2018,11/8/2018,11/08/2018,,,,
29/05/2018 19:13:35,3,1,2018,8/18/2018,18/08/2018,,,,
30/05/2018 09:12:16,3,1,2018,8/18/2018,18/08/2018,,,,
1/6/2018 15:32,3,1,2018,8/18/2018,18/08/2018,,,,
1/6/2018 15:33,3,1,2018,8/18/2018,18/08/2018,,,,
30/06/2018 01:22:09,3,3,2018,8/18/2018,18/08/2018,,,,
30/06/2018 01:26:51,3,3,2018,8/18/2018,18/08/2018,,,,
30/06/2018 01:28:54,3,3,2018,8/18/2018,18/08/2018,,,,
30/06/2018 01:32:33,3,1,2018,8/18/2018,18/08/2018,,,,
30/06/2018 09:40:13,3,1,2018,8/18/2018,18/08/2018,,,,
30/06/2018 12:04:03,3,1,2018,8/18/2018,18/08/2018,,,,
2/7/2018 21:37,3,3,2018,8/18/2018,18/08/2018,,,,
11/7/2018 19:35,3,2,2018,8/18/2018,18/08/2018,,,,
12/7/2018 17:48,3,1,2018,8/18/2018,18/08/2018,,,,
20/07/2018 11:21:51,3,1,2018,8/18/2018,18/08/2018,,,,
20/07/2018 11:33:55,3,1,2018,8/18/2018,18/08/2018,,,,
20/07/2018 11:52:42,3,3,2018,8/18/2018,18/08/2018,,,,
20/07/2018 18:15:31,3,1,2018,8/18/2018,18/08/2018,,,,
25/07/2018 22:44:26,3,1,2018,8/18/2018,18/08/2018,,,,
28/07/2018 16:14:58,3,1,2018,8/18/2018,18/08/2018,,,,
30/07/2018 13:56:42,3,1,2018,8/18/2018,18/08/2018,,,,
31/07/2018 20:17:43,3,1,2018,8/18/2018,18/08/2018,,,,
31/07/2018 20:21:42,3,1,2018,8/18/2018,18/08/2018,,,,
31/07/2018 20:24:27,3,1,2018,8/18/2018,18/08/2018,,,,
31/07/2018 20:27:08,3,1,2018,8/18/2018,18/08/2018,,,,
1/8/2018 11:52,3,1,2018,8/18/2018,18/08/2018,,,,
1/8/2018 15:23,3,1,2018,8/18/2018,18/08/2018,,,,
1/8/2018 15:34,3,1,2018,8/18/2018,18/08/2018,,,,
1/8/2018 16:32,3,1,2018,8/18/2018,18/08/2018,,,,
1/8/2018 16:33,3,1,2018,8/18/2018,18/08/2018,,,,
1/8/2018 16:34,3,1,2018,8/18/2018,18/08/2018,,,,
1/8/2018 16:36,3,2,2018,8/18/2018,18/08/2018,,,,
1/8/2018 16:38,3,1,2018,8/18/2018,18/08/2018,,,,
3/8/2018 7:09,3,1,2018,8/18/2018,18/08/2018,,,,
3/8/2018 14:59,3,1,2018,8/18/2018,18/08/2018,,,,
3/8/2018 15:59,3,3,2018,8/18/2018,18/08/2018,,,,
3/8/2018 21:45,3,1,2018,8/18/2018,18/08/2018,,,,
5/8/2018 20:35,3,1,2018,8/18/2018,18/08/2018,,,,
6/8/2018 11:40,3,1,2018,8/18/2018,18/08/2018,,,,
6/8/2018 11:40,3,1,2018,8/18/2018,18/08/2018,,,,
11/8/2018 15:49,3,1,2018,8/18/2018,18/08/2018,,,,
12/8/2018 17:04,3,1,2018,8/18/2018,18/08/2018,,,,
13/08/2018 13:26:36,3,1,2018,8/18/2018,18/08/2018,,,,
13/08/2018 15:24:01,3,1,2018,8/18/2018,18/08/2018,,,,
17/08/2018 16:17:40,3,1,2018,8/18/2018,18/08/2018,,,,
19/06/2018 08:39:58,4,1,2018,8/26/2018,26/08/2018,,,,
19/06/2018 08:42:09,4,1,2018,8/26/2018,26/08/2018,,,,
19/06/2018 08:44:03,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 15:40,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 15:44,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 15:46,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 15:47,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 15:49,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 15:50,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 15:51,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 15:52,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 15:53,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 15:54,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 15:56,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 15:57,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 15:58,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 15:59,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 16:00,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 16:01,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 16:01,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 16:02,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 16:03,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 16:04,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 16:05,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 18:02,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 19:13,4,1,2018,8/26/2018,26/08/2018,,,,
2/7/2018 19:15,4,1,2018,8/26/2018,26/08/2018,,,,
3/7/2018 19:24,4,3,2018,8/26/2018,26/08/2018,,,,
3/7/2018 22:24,4,3,2018,8/26/2018,26/08/2018,,,,
4/7/2018 22:18,4,3,2018,8/26/2018,26/08/2018,,,,
4/7/2018 22:19,4,3,2018,8/26/2018,26/08/2018,,,,
6/7/2018 22:09,4,3,2018,8/26/2018,26/08/2018,,,,
6/7/2018 22:09,4,3,2018,8/26/2018,26/08/2018,,,,
6/7/2018 22:49,4,3,2018,8/26/2018,26/08/2018,,,,
7/7/2018 9:33,4,3,2018,8/26/2018,26/08/2018,,,,
7/7/2018 10:27,4,1,2018,8/26/2018,26/08/2018,,,,
7/7/2018 14:52,4,3,2018,8/26/2018,26/08/2018,,,,
8/7/2018 0:19,4,3,2018,8/26/2018,26/08/2018,,,,
9/7/2018 8:59,4,3,2018,8/26/2018,26/08/2018,,,,
13/07/2018 19:24:22,4,1,2018,8/26/2018,26/08/2018,,,,
13/07/2018 19:57:54,4,1,2018,8/26/2018,26/08/2018,,,,
13/07/2018 19:59:30,4,1,2018,8/26/2018,26/08/2018,,,,
14/07/2018 09:33:28,4,1,2018,8/26/2018,26/08/2018,,,,
18/07/2018 11:03:43,4,1,2018,8/26/2018,26/08/2018,,,,
19/07/2018 23:16:44,4,1,2018,8/26/2018,26/08/2018,,,,
23/07/2018 23:11:08,4,1,2018,8/26/2018,26/08/2018,,,,
23/07/2018 23:12:20,4,1,2018,8/26/2018,26/08/2018,,,,
23/07/2018 23:13:15,4,1,2018,8/26/2018,26/08/2018,,,,
7/8/2018 8:23,4,2,2018,8/26/2018,26/08/2018,,,,
7/8/2018 8:30,4,2,2018,8/26/2018,26/08/2018,,,,
7/8/2018 8:48,4,2,2018,8/26/2018,26/08/2018,,,,
7/8/2018 9:20,4,2,2018,8/26/2018,26/08/2018,,,,
7/8/2018 9:23,4,2,2018,8/26/2018,26/08/2018,,,,
7/8/2018 9:24,4,2,2018,8/26/2018,26/08/2018,,,,
7/8/2018 9:30,4,2,2018,8/26/2018,26/08/2018,,,,
7/8/2018 10:29,4,2,2018,8/26/2018,26/08/2018,,,,
7/8/2018 11:53,4,2,2018,8/26/2018,26/08/2018,,,,
7/8/2018 12:12,4,2,2018,8/26/2018,26/08/2018,,,,
7/8/2018 15:16,4,2,2018,8/26/2018,26/08/2018,,,,
7/8/2018 17:27,4,3,2018,8/26/2018,26/08/2018,,,,
11/8/2018 13:51,4,1,2018,8/26/2018,26/08/2018,,,,
12/8/2018 15:26,4,1,2018,8/26/2018,26/08/2018,,,,
17/08/2018 11:57:52,4,1,2018,8/26/2018,26/08/2018,,,,
18/08/2018 18:46:49,4,1,2018,8/26/2018,26/08/2018,,,,
20/08/2018 23:55:37,4,2,2018,8/26/2018,26/08/2018,,,,
24/08/2018 14:05:13,4,1,2018,8/26/2018,26/08/2018,,,,
21/05/2019 13:04:46,1,1,2019,10/8/2019,10/08/2019,,,,
23/05/2019 9:00:11,1,1,2019,10/8/2019,10/08/2019,,,,
1/6/2019 17:09,1,1,2019,10/8/2019,10/08/2019,,,,
3/6/2019 15:23,1,1,2019,10/8/2019,10/08/2019,,,,
9/6/2019 7:45,1,1,2019,10/8/2019,10/08/2019,,,,
6/7/2019 10:48,1,1,2019,10/8/2019,10/08/2019,,,,
6/7/2019 10:53,1,1,2019,10/8/2019,10/08/2019,,,,
12/7/2019 17:17,1,1,2019,10/8/2019,10/08/2019,,,,
12/7/2019 17:21,1,1,2019,10/8/2019,10/08/2019,,,,
13/07/2019 20:37:48,1,1,2019,10/8/2019,10/08/2019,,,,
17/07/2019 15:46:19,1,1,2019,10/8/2019,10/08/2019,,,,
18/07/2019 11:16:15,1,1,2019,10/8/2019,10/08/2019,,,,
18/07/2019 19:45:07,1,1,2019,10/8/2019,10/08/2019,,,,
19/07/2019 8:53:25,1,1,2019,10/8/2019,10/08/2019,,,,
20/07/2019 22:02:05,1,1,2019,10/8/2019,10/08/2019,,,,
20/07/2019 22:04:27,1,1,2019,10/8/2019,10/08/2019,,,,
26/07/2019 16:43:25,1,1,2019,10/8/2019,10/08/2019,,,,
2/8/2019 10:57,1,1,2019,10/8/2019,10/08/2019,,,,
2/8/2019 11:01,1,1,2019,10/8/2019,10/08/2019,,,,
2/8/2019 11:04,1,1,2019,10/8/2019,10/08/2019,,,,
